00:53:33:222 [main] INFO  c.project.main.PracticeApplication - Starting PracticeApplication using Java 21.0.8 with PID 53436 (/home/anshul-goswami/IdeaProjects/Spring_Practice_Project/target/classes started by anshul-goswami in /home/anshul-goswami/IdeaProjects/Spring_Practice_Project)
00:53:33:223 [main] INFO  c.project.main.PracticeApplication - No active profile set, falling back to 1 default profile: "default"
00:53:33:642 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
00:53:33:679 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 32 ms. Found 2 MongoDB repository interfaces.
00:53:34:029 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
00:53:34:038 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
00:53:34:040 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
00:53:34:040 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.44]
00:53:34:082 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
00:53:34:083 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 827 ms
00:53:34:481 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.2.1"}, "os": {"type": "Linux", "name": "Linux", "architecture": "amd64", "version": "6.14.0-27-generic"}, "platform": "Java/Ubuntu/21.0.8+9-Ubuntu-0ubuntu124.04.1"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='nikhilrastogi_db_user', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@c412556, com.mongodb.Jep395RecordCodecProvider@6f930e0, com.mongodb.KotlinCodecProvider@450f0235]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.7ox7lv9.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-t8vpxy-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
00:53:34:731 [main] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 2. Remaining time: 29991 ms. Selector: WritableServerSelector, topology description: {type=UNKNOWN, servers=[].
00:53:34:742 [cluster-ClusterId{value='68c5c4b6fada9272c768f47b', description='Cluster0'}-srv-cluster0.7ox7lv9.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-iwkbdgu-shard-00-00.7ox7lv9.mongodb.net:27017 to client view of cluster
00:53:34:758 [cluster-ClusterId{value='68c5c4b6fada9272c768f47b', description='Cluster0'}-srv-cluster0.7ox7lv9.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-iwkbdgu-shard-00-01.7ox7lv9.mongodb.net:27017 to client view of cluster
00:53:34:759 [cluster-ClusterId{value='68c5c4b6fada9272c768f47b', description='Cluster0'}-srv-cluster0.7ox7lv9.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-iwkbdgu-shard-00-02.7ox7lv9.mongodb.net:27017 to client view of cluster
